,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
100,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
99,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
98,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
97,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
96,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
95,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
94,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
93,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
92,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
91,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
90,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
89,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
88,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
87,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
86,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
85,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
84,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
83,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
82,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
81,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
80,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
79,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
78,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
77,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
76,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
75,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
74,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
73,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
72,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
71,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
70,18,18,18,18,18,18,16,16,16,15,15,15,15,15,15,15,15,15,15,15
69,18,18,18,18,18,18,13,13,13,12,12,12,12,12,12,12,12,12,12,12
68,18,18,18,18,18,18,13,13,13,12,12,12,12,12,12,12,12,12,12,12
67,18,18,18,18,18,18,13,13,13,12,12,12,12,12,12,12,12,12,12,12
66,18,18,18,18,18,18,13,13,13,12,12,12,12,12,12,12,12,12,12,12
65,18,18,18,18,18,18,13,13,13,12,12,12,12,12,12,12,12,12,12,12
64,10,10,10,10,10,10,8,8,8,7,7,7,7,7,7,7,7,7,7,7
63,10,10,10,10,10,10,8,8,8,7,7,7,7,7,7,7,7,7,7,7
62,10,10,10,10,10,10,8,8,8,7,7,7,7,7,7,7,7,7,7,7
61,10,10,10,10,10,10,8,8,8,7,7,7,7,7,7,7,7,7,7,7
60,10,10,10,10,10,10,8,8,8,7,7,7,7,7,7,7,7,7,7,7
59,6,6,6,6,6,6,3,3,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
58,6,6,6,6,6,6,3,3,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
57,6,6,6,6,6,6,3,3,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
56,6,6,6,6,6,6,3,3,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
55,6,6,6,6,6,6,3,3,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
54,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
53,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
52,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
51,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
50,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
48,1,1,1,1,1,1,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
47,1,1,1,1,1,1,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
46,1,1,1,1,1,1,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
45,1,1,1,1,1,1,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
43,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
42,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
41,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
39,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
37,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
36,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
35,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
34,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
33,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
32,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
31,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
